GeoLoc,Year,State,Pop_Est,F_Fatal,M_Fatal,O_Fatal,F_ER,M_ER,O_ER,F_HOSP,M_HOSP,O_HOSP
POINT (-111.76381127699972 34.865970280000454),2016,Arizona,6944767,68,40,108,15727,13961,29688,1885,1532,3417
POINT (-92.27449074299966 34.74865012400045),2016,Arkansas,2991815,28,17,45,6341,5285,11626,827,554,1381
POINT (-120.99999953799971 37.63864012300047),2016,California,39149186,240,151,391,,,,,,
POINT (-106.13361092099967 38.843840757000464),2016,Colorado,5543844,32,14,46,,,,1287,1132,2419
POINT (-72.64984095199964 41.56266102000046),2016,Connecticut,3579830,23,21,44,,,,,,
POINT (-75.57774116799965 39.008830667000495),2016,Delaware,949989,,,,,,,,,
POINT (-77.036871 38.907192),2016,District of Columbia,687576,,,,,,,529,350,879
POINT (-81.92896053899966 28.932040377000476),2016,Florida,20627237,124,60,184,63556,53487,117043,9518,5970,15488
POINT (-83.62758034599966 32.83968109300048),2016,Georgia,10308442,56,37,93,,,,,,
POINT (-157.85774940299973 21.304850435000446),2016,Hawaii,1428885,,,,,,,,,
POINT (-114.3637300419997 43.682630005000476),2016,Idaho,1684036,10.5,10.5,21,,,,,,
POINT (-88.99771017799969 40.48501028300046),2016,Illinois,12821709,82,67,149,,,,,,
POINT (-86.14996019399968 39.766910452000445),2016,Indiana,6637898,34,21,55,,,,,,
POINT (-93.81649055599968 42.46940091300047),2016,Iowa,3133210,17,17,34,5303,4495,9798,615,399,1014
POINT (-98.20078122699965 38.34774030000045),2016,Kansas,2912977,30,11,41,,,,,,
POINT (-84.77497104799966 37.645970271000465),2016,Kentucky,4440306,33,15,48,9750,8086,17836,1206,731,1937
POINT (-92.44568007099969 31.31266064400046),2016,Louisiana,4681346,22,20,42,,,,,,
POINT (-68.98503133599962 45.254228894000505),2016,Maine,1332348,,,,,,,265,149,414
POINT (-76.60926011099963 39.29058096400047),2016,Maryland,6007014,47,32,79,19238,18435,37673,2266,1763,4029
POINT (-72.08269067499964 42.27687047000046),2016,Massachusetts,6827280,57,29,86,,,,3113,2050,5163
POINT (-84.71439026999968 44.6613195430005),2016,Michigan,9954117,64,29,93,,,,3546,2227,5773
POINT (-94.79420050299967 46.35564873600049),2016,Minnesota,5525360,43,33,76,9560,8557,18117,1034,800,1834
POINT (-89.53803082499968 32.745510099000455),2016,Mississippi,2990595,38,27,65,,,,1217,853,2070
POINT (-92.56630005299968 38.635790776000476),2016,Missouri,6091384,40,33,73,,,,,,
POINT (-109.42442064499971 47.06652897200047),2016,Montana,1042137,,,,,,,,,
POINT (-99.36572062299967 41.6410409880005),2016,Nebraska,1906483,21,7,28,2644,2489,5133,288,168,456
POINT (-117.07184056399967 39.493240390000494),2016,Nevada,2919555,21,16,37,7337,6656,13993,874,773,1647
POINT (-71.50036091999965 43.65595011300047),2016,New Hampshire,1343694,,,,,,,,,
POINT (-74.27369128799967 40.13057004800049),2016,New Jersey,8873584,58,44,102,31488,26377,57865,4587,2948,7535
POINT (-106.24058098499967 34.52088095200048),2016,New Mexico,2092555,13.5,13.5,27,,,,,,
POINT (-75.54397042699964 42.82700103200045),2016,New York,19636391,154,119,273,84178,74041,158219,12082,8941,21023
POINT (-79.15925046299964 35.466220975000454),2016,North Carolina,10161802,59,44,103,26801,22937,49738,2954,1960,4914
POINT (-100.11842104899966 47.47531977900047),2016,North Dakota,756114,,,,,,,,,
POINT (-82.40426005599966 40.06021014100048),2016,Ohio,11640060,85,48,133,,,,,,
POINT (-97.52107021399968 35.47203135600046),2016,Oklahoma,3928143,29,14,43,,,,,,
POINT (-120.15503132599969 44.56744942400047),2016,Oregon,4093271,44,31,75,,,,679,467,1146
POINT (-77.86070029399963 40.79373015200048),2016,Pennsylvania,12788468,86,42,128,,,,,,
POINT (-71.52247031399963 41.70828019300046),2016,Rhode Island,1057816,,,,2767,2243,5010,452,281,733
POINT (-81.04537120699968 33.998821303000454),2016,South Carolina,4963031,44,16,60,,,,,,
POINT (-100.3735306369997 44.353130053000484),2016,South Dakota,863693,,,,,,,197,133,330
POINT (-85.77449091399967 35.68094058000048),2016,Tennessee,6651277,52,26,78,,,,,,
POINT (-99.42677020599967 31.827240407000488),2016,Texas,27914064,130,66,196,,,,,,
POINT (-111.58713063499971 39.360700171000474),2016,Utah,3044241,22,14,36,,,,,,
POINT (-72.51764079099962 43.62538123900049),2016,Vermont,624366,,,,1197,920,2117,86,54,140
POINT (-78.45789046299967 37.54268067400045),2016,Virginia,8417651,48,33,81,,,,,,
POINT (-120.47001078999972 47.52227862900048),2016,Washington,7299961,51,27,78,,,,1412,972,2384
POINT (-80.71264013499967 38.66551020200046),2016,West Virginia,1832435,12.5,12.5,25,,,,428,272,700
POINT (-89.81637074199966 44.39319117400049),2016,Wisconsin,5775170,37,29,66,12052,9992,22044,1288,688,1976
POINT (-108.10983035299967 43.23554134300048),2016,Wyoming,585243,,,,,,,,,
POINT (-86.63186076199969 32.84057112200048),2017,Alabama,4877989,45,29,74,,,,,,
POINT (-147.72205903599973 64.84507995700051),2017,Alaska,740983,,,,,,,150,100,250
POINT (-111.76381127699972 34.865970280000454),2017,Arizona,7048088,61,31,92,14602,13497,28099,1719,1438,3157
POINT (-92.27449074299966 34.74865012400045),2017,Arkansas,3003855,16,16,32,,,,,,
POINT (-120.99999953799971 37.63864012300047),2017,California,39337785,257,142,399,,,,,,
POINT (-106.13361092099967 38.843840757000464),2017,Colorado,5617421,31,15,46,,,,1214,1162,2376
POINT (-72.64984095199964 41.56266102000046),2017,Connecticut,3575324,21,17,38,,,,,,
POINT (-75.57774116799965 39.008830667000495),2017,Delaware,957942,,,,,,,,,
POINT (-77.036871 38.907192),2017,District of Columbia,697079,,,,,,,445,311,756
POINT (-81.92896053899966 28.932040377000476),2017,Florida,20977089,118,61,179,61759,51240,112999,8994,5216,14210
POINT (-83.62758034599966 32.83968109300048),2017,Georgia,10417031,67,41,108,30711,28117,58828,3520,2522,6042
POINT (-157.85774940299973 21.304850435000446),2017,Hawaii,1425763,12,12,24,,,,,,
POINT (-114.3637300419997 43.682630005000476),2017,Idaho,1719745,13.5,13.5,27,,,,,,
POINT (-88.99771017799969 40.48501028300046),2017,Illinois,12779893,79,70,149,,,,,,
